OVERLAPS 0
(1, 0) (0, 7893.0, 8957.0, 8358.0)
(1, 1) (1, 200.0, 2700.0, 797.8)
(1, 2) (0, 6660.0, 8760.0, 8552.2)
(1, 3) (0, 2960.0, 3860.0, 3028.2)
(1, 4) (-1, 8210.0, 9140.0, 8552.2)
(2, 0) (0, 9690.0, 10440.0, 10065.0)
(2, 1) (1, 2310.0, 3310.0, 3111.0)
(2, 2) (1, 200.0, 1800.0, 1770.0)
(3, 0) (-1, 12580.0, 13580.0, 12619.0)
(3, 1) (0, 5520.0, 6020.0, 5641.0)
(3, 2) (0, 200.0, 1400.0, 1219.0)
(3, 3) (0, 452.0, 12548.0, 476.0)
(3, 4) (0, 467.6, 13312.4, 506.6)
(3, 5) (0, 452.0, 12548.0, 476.0)
(3, 6) (0, 467.6, 13312.4, 1219.0)
(3, 7) (-1, 4120.0, 13066.0, 4144.0)
(3, 8) (-1, -1138.0, 13312.4, 2439.0)
(4, 0) (0, 12000.0, 12560.0, 12280.0)
(4, 1) (-1, 11600.0, 12800.0, 12090.0)
(4, 2) (-1, 12000.0, 12800.0, 12090.0)
(5, 0) (0, 2720.0, 4860.0, 4709.8)
(5, 1) (-1, 11600.0, 12800.0, 11630.0)
(5, 2) (-1, 7990.0, 9190.0, 8020.0)
(6, 0) (0, 12000.0, 12800.0, 12400.0)
(7, 0) (0, 4240.0, 5140.0, 4589.0)
(7, 1) (1, 2960.0, 4660.0, 4317.8)
(7, 2) (1, 200.0, 2290.0, 1307.8)
(8, 0) (1, 3470.0, 4100.0, 3554.0)
(8, 1) (-1, 7810.0, 10710.0, 8926.0)
(8, 2) (-1, 7810.0, 10710.0, 8973.5)
(8, 3) (1, 200.0, 1200.0, 376.5)
(9, 0) (1, 4240.0, 5140.0, 5019.0)
(9, 1) (1, 4920.0, 6820.0, 6781.0)
(10, 0) (0, 4920.0, 6820.0, 5870.0)
(10, 1) (1, 4240.0, 5140.0, 4982.0)
(10, 2) (1, 2370.0, 3130.0, 3118.0)
(11, 0) (0, 1220.0, 2100.0, 1650.0)
(11, 1) (-1, 6630.0, 8130.0, 6688.5)
(11, 2) (-1, 9250.0, 10950.0, 9308.5)
(11, 3) (-1, 5850.0, 7050.0, 5908.5)
(11, 4) (-1, 12580.0, 13580.0, 12717.5)
(12, 0) (0, 200.0, 1000.0, 683.0)
(13, 0) (0, 3880.0, 4560.0, 3958.0)
(13, 1) (1, 6690.0, 7390.0, 7342.0)
(13, 2) (1, 1170.0, 3130.0, 2924.0)
(13, 3) (1, 2310.0, 3610.0, 3057.0)
(13, 4) (1, 5520.0, 6020.0, 5984.0)
(14, 0) (1, 3995.0, 4220.0, 4107.5)
(14, 1) (0, 2660.0, 3860.0, 2747.8)
